"x","y","frp_value","cofire_value","co2fire_value","pm2p5fire_value","time","country","province","amphoe"
99.2500033651896,18.6499993672564,0.0505846105515957,2.61665489276197e-09,3.87088974207472e-08,3.1898275687503e-10,"2021-03-01","Thailand","Chiang Mai","K. Mae On"
99.3500033685812,20.0499993197583,0.131706967949867,1.28182620073858e-08,2.04651556146018e-07,1.13989140348991e-09,"2021-05-04","Thailand","Chiang Mai","Mae Ai"
98.3500033346654,18.6499993672564,0.0160975195467472,1.60228275092322e-09,2.59875001518139e-08,1.38168657071169e-10,"2021-05-02","Thailand","Chiang Mai","Mae Chaem"
98.8500033516233,18.9499993570783,0.0290156193077564,2.96563906765357e-09,4.56948505700439e-08,2.55734128318252e-10,"2021-04-02","Thailand","Chiang Mai","Mae Rim"
98.8500033516233,19.0499993536855,0.0203109327703714,2.07594741397088e-09,3.12648964495565e-08,1.79013887047219e-10,"2021-04-01","Thailand","Chiang Mai","Mae Taeng"
98.5500033414485,18.7499993638637,0.0657687336206436,6.22784224191264e-09,1.03414663499279e-07,5.75401781777174e-10,"2021-04-02","Thailand","Chiang Mai","Mae Wang"
98.9500033550149,18.7499993638637,0.0306513961404562,1.55828716597028e-09,2.32115571208169e-08,1.89546933704321e-10,"2020-03-24","Thailand","Chiang Mai","Muang Chiang Mai"
98.2500033312738,17.9499993910055,0.312401503324509,3.02495202220143e-08,4.88213402149995e-07,2.71078159919114e-09,"2021-04-01","Thailand","Chiang Mai","Omkoi"
99.150003361798,19.0499993536855,0.0248779840767384,2.40342412638483e-09,3.89812484513641e-08,2.24524066005927e-10,"2021-05-16","Thailand","Chiang Mai","Phrao"
98.7500033482317,19.0499993536855,0.0899484157562256,8.60035331839981e-09,1.41894531680009e-07,7.79989073329546e-10,"2021-04-02","Thailand","Chiang Mai","Samoeng"
99.150003361798,18.7499993638637,0.04694564640522,2.56016363664457e-09,3.81350631073474e-08,3.11413173026409e-10,"2020-07-25","Thailand","Chiang Mai","San Kamphaeng"
