time,total_frp,total_cofire,total_co2fire,total_pm2p5fire,country
2021-09-11,0.16088753007352402,1.5708731870844902e-08,2.52679988932414e-07,1.4112335605664901e-09,Thailand
2021-09-12,0.0586766265332699,1.54874824076501e-09,2.1866537025516697e-08,1.42217335130645e-10,Thailand
2021-09-13,0.0,0.0,0.0,0.0,Thailand
2021-09-14,0.0,0.0,0.0,0.0,Thailand
2021-09-15,0.0378558896481991,1.7699979260044101e-09,4.8592305290640096e-08,1.42217335130645e-10,Thailand
2021-09-16,0.183601059019566,8.18624035225923e-09,1.48206531491724e-07,7.32966284888725e-10,Thailand
2021-09-17,0.0416414774954319,1.99124761124381e-09,5.345153653024679e-08,1.6409693048835498e-10,Thailand
2021-09-18,1.08835678547621,5.6639934964408693e-08,9.81564558522052e-07,4.977606739980929e-09,Thailand
2021-09-19,0.221456948667765,1.30537350928606e-08,2.0165806269289998e-07,1.15961826252509e-09,Thailand
2021-09-20,0.0378558896481991,1.10624875926391e-09,1.45776919424634e-08,8.75183606141583e-11,Thailand
2021-09-21,0.166565913707018,1.12837367227669e-08,1.74932301533204e-07,1.08303972040646e-09,Thailand
2021-09-22,0.20442179590463602,1.7036230537392802e-08,2.7211691211448397e-07,1.5315712864616399e-09,Thailand
2021-09-23,0.43534272164106397,2.1018725260280003e-08,3.23138833024927e-07,1.89258452659713e-09,Thailand
2021-09-24,0.18170826509594898,4.86749429651212e-09,7.045884409251361e-08,4.37591796131898e-10,Thailand
2021-09-25,0.18170826509594898,4.86749429651212e-09,7.045884409251361e-08,4.37591796131898e-10,Thailand
2021-09-26,0.18170826509594898,4.86749429651212e-09,7.045884409251361e-08,4.37591796131898e-10,Thailand
2021-09-27,0.45048506930470505,1.92487276673425e-08,4.22753052120584e-07,1.6300294586324402e-09,Thailand
2021-09-28,0.0,0.0,0.0,0.0,Thailand
2021-09-29,1.3703831676393703,4.8674943575743894e-08,8.2363956721565e-07,4.27745986894545e-09,Thailand
2021-09-30,0.353952549397945,1.52662326113884e-08,2.57539220172021e-07,1.3784141744688199e-09,Thailand
2021-09-01,3.7704465072602003,1.9226602843147602e-07,3.5350902169994903e-06,1.6814465049475e-08,Vietnam
2021-09-02,3.0852549467235804,1.5221982718749403e-07,2.5243703003496897e-06,1.3510646920678001e-08,Vietnam
2021-09-03,1.5520914439111901,5.376368777954e-08,7.993434092412599e-07,4.857268968982979e-09,Vietnam
2021-09-04,0.49591214396059496,3.16387131493734e-08,5.345153581970411e-07,2.80058749108081e-09,Vietnam
2021-09-05,0.119246050715446,9.513739351874051e-09,1.50636152440597e-07,8.42364220043912e-10,Vietnam
2021-09-06,0.494019348174334,2.5222470112495898e-08,4.2761229224197503e-07,2.24265797599266e-09,Vietnam
2021-09-07,0.26120562851429,1.65937301677133e-08,3.01272297775768e-07,1.4878121235018e-09,Vietnam
2021-09-08,0.34638136997818897,3.05324653337991e-08,4.90782282369651e-07,2.734948684191e-09,Vietnam
2021-09-09,0.7022267319262031,4.7789945001319696e-08,9.208241884550721e-07,4.179001596160689e-09,Vietnam
2021-09-10,0.8933989573270079,6.615367392770469e-08,1.16135611794022e-06,5.8090311658154395e-09,Vietnam
2021-09-11,1.36281197704375,9.80136364292505e-08,1.77847837878886e-06,8.7627757792974e-09,Vietnam
2021-09-12,0.29906151443719897,2.89837155387218e-08,4.66486145711542e-07,2.6036711953114604e-09,Vietnam
2021-09-13,2.3584218714386203,9.115489596478449e-08,1.7274564561020598e-06,7.942291185836229e-09,Vietnam
2021-09-14,0.825258368626237,2.89837168709894e-08,5.70959594270448e-07,2.5161528624528798e-09,Vietnam
2021-09-15,1.09214239008725,4.07099532973021e-08,8.43076509049467e-07,3.47885483267807e-09,Vietnam
2021-09-16,0.819579992443323,2.61074695195873e-08,4.00886525753208e-07,2.28641716670808e-09,Vietnam
